mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Nuevo León,2,0,8,0,0,0,1,0,11
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Oaxaca,0,0,1,0,3,0,0,0,4
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Puebla,1,0,19,0,1,0,1,0,22
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Querétaro,0,0,2,0,0,0,2,0,4
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Quintana Roo,1,0,3,0,0,0,0,0,4
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,San Luis Potosí,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Sinaloa,2,0,37,0,195,0,127,0,361
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Sonora,1,0,29,0,6,0,10,0,46
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Tabasco,1,0,8,0,0,0,2,0,11
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Tamaulipas,0,0,1,0,0,0,7,0,8
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Tlaxcala,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Veracruz de Ignacio de la Llave,0,0,1,0,4,0,2,0,7
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Yucatán,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Zacatecas,0,0,18,0,1,0,1,0,20
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Extranjeros,0,0,0,0,2,0,1,0,3
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Aguascalientes,0,0,1,0,3,0,7,0,11
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Baja California,0,0,1,0,21,0,15,0,37
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Baja California Sur,0,0,1,0,21,0,4,0,26
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Campeche,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Chiapas,1,0,0,0,6,0,6,0,13
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Chihuahua,6,0,34,0,22,0,49,0,111
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Ciudad de México,0,0,14,0,9,0,10,0,33
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Coahuila de Zaragoza,1,0,3,0,7,0,18,0,29
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Colima,0,0,3,0,0,0,1,0,4
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Durango,0,0,5,0,19,0,29,0,53
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Estado de México,5,0,94,0,17,0,16,0,132
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Guanajuato,1,0,53,0,14,0,9,0,77
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Guerrero,0,0,42,0,12,0,15,0,69
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Hidalgo,0,0,0,0,7,0,9,0,16
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Jalisco,3,0,9,0,17,0,10,0,39
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Michoacán de Ocampo,0,0,8,0,15,0,35,0,58
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Morelos,3,0,4,0,3,0,2,0,12
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Nayarit,0,0,0,0,9,0,8,0,17
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Nuevo León,4,0,40,0,13,0,12,0,69
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Oaxaca,0,0,1,0,13,0,11,0,25
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Puebla,2,0,0,0,8,0,6,0,16
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Querétaro,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Quintana Roo,0,0,5,0,0,0,0,0,5
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),San Luis Potosí,2,0,2,0,3,0,4,0,11
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Sinaloa,2,0,18,0,71,0,143,0,234
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Sonora,6,0,56,0,284,0,633,0,979
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Tabasco,1,0,9,0,10,0,7,0,27
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Tamaulipas,2,0,7,0,17,0,31,0,57
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Tlaxcala,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Veracruz de Ignacio de la Llave,6,0,14,0,12,0,14,0,46
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Yucatán,1,0,0,0,0,0,0,0,1
