mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,San Luis Potosí,0,0,0,0,1,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Sinaloa,2,0,37,0,244,0,124,0,407
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Sonora,1,0,29,0,7,0,10,0,47
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Tabasco,1,0,8,0,1,0,2,0,12
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Tamaulipas,0,0,1,0,0,0,6,0,7
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Tlaxcala,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Veracruz de Ignacio de la Llave,0,0,1,0,5,0,2,0,8
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Yucatán,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Zacatecas,0,0,18,0,2,0,1,0,21
2026-03,Marzo 2026,CEFERESO No. 8 Nor-Poniente,Publico,Extranjeros,0,0,0,0,3,0,1,0,4
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Aguascalientes,0,0,1,0,3,0,7,0,11
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Baja California,0,0,1,0,21,0,15,0,37
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Baja California Sur,0,0,1,0,21,0,4,0,26
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Campeche,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Chiapas,1,0,0,0,6,0,6,0,13
